"COMUNE","CODICE_COMUNE","ETA_MEDIA","PERC_MASCHILE","POPOLAZIONE","PERC_SI_EL22","BASSA_ISTR","ALTA_ISTR","PERC_STRANIERI","PERC_SI_CITTAD_REF25","POSIZIONE_GEO","NUM_VOTI_SI","NUM_VOTI_NO","SI_NO","PERC_SI","SUPERFICIE_kmq","INDICE_POVERTA","INDICE_DISUGUAGLIANZA","INDICE_CETO_MEDIO","DENSITA_Xkmq","FASCIA_POPOLAZIONE"
"AIELLO CALABRO",78004,51.5747384155456,0.502242152466368,1338,0.330677290836653,0.548926014319809,0.081145584725537,0.0149476831091181,0.766839378238342,"S",214,337,"no",0.388384754990926,38.5058,1.37283781180734,0.150073473270926,0.109463641224893,34.7480119878044,"Micro"
"AIELLO DEL FRIULI",30001,50.889846743295,0.477490421455939,2088,0.594005449591281,0.432946145723337,0.0929250263991552,0.0469348659003831,0.609108159392789,"N",534,559,"no",0.488563586459286,13.3473,-0.337389160375963,-0.271614045501034,0.292503503897735,156.436133150525,"Micro"
"AIELLO DEL SABATO",64001,43.863523573201,0.495781637717122,4030,0.45,0.428532460447354,0.121385706492089,0.0210918114143921,0.632418069087688,"S",721,1176,"no",0.380073800738007,10.8723,-0.992228536474258,0.744680082727876,0.233963746980799,370.666740248154,"Piccolo"
"AIETA",78005,48.0265363128492,0.493016759776536,716,0.614107883817427,0.633996937212864,0.0612557427258806,0.0279329608938547,0.701754385964912,"S",128,170,"no",0.429530201342282,48.2952,6.06495797758103,1.70401979590844,-5.33576472331278,14.8254899037586,"Micro"
"AILANO",61001,49.1927816901408,0.453345070422535,1136,0.518664047151277,0.474813432835821,0.0942164179104478,0.0176056338028169,0.527522935779816,"S",261,224,"si",0.538144329896907,16.0556,1.15338957196989,-0.750531169717419,-0.369086630077137,70.7541294003339,"Micro"
"AILOCHE",96001,50.8144329896907,0.47766323024055,291,0.727272727272727,0.593406593406593,0.043956043956044,0.0240549828178694,0.531914893617021,"N",98,45,"si",0.685314685314685,10.783,2.28603586839065,-1.6598192648944,-0.163390504516742,26.9869238616341,"Micro"
"AIRASCA",1002,45.7740189445196,0.50744248985115,3695,0.554238292827504,0.511790949649458,0.0595920968769917,0.0936400541271989,0.613918017159199,"N",757,996,"no",0.431831146605819,15.7393,-0.927985693690324,0.11981812268948,-0.16620908651476,234.762664159143,"Piccolo"
"AIROLA",62001,44.3710273466371,0.497289972899729,8118,0.402832415420928,0.400055991041433,0.139557670772676,0.0429908844542991,0.619718309859155,"S",1568,1942,"no",0.446723646723647,14.9202,-1.28401833872112,0.967515206742407,-0.681710470089106,544.094583182531,"Medio"
"AIROLE",8001,51.9566395663957,0.525745257452574,369,0.548872180451128,0.554621848739496,0.0504201680672269,0.292682926829268,0.768421052631579,"N",65,85,"no",0.433333333333333,14.6268,2.39264542201727,0.113271496778997,1.96909702905672,25.2276642874723,"Micro"
"AIRUNO",97002,45.3963245492372,0.522191400832178,2884,0.692643845593591,0.500638569604087,0.0727969348659004,0.122746185852982,0.620743034055728,"N",733,583,"si",0.556990881458967,4.286,-1.12085909323306,0.104550462919607,0.26503424323972,672.888474101727,"Piccolo"
"AISONE",4002,53.6225490196078,0.514705882352941,204,0.654867256637168,0.510416666666667,0.0416666666666667,0.0245098039215686,0.636363636363636,"N",68,61,"si",0.527131782945736,36.9173,2.10895000010158,-1.31858974126796,0.922952270648753,5.52586456756047,"Micro"
"ALA",22001,44.4445319531953,0.50461296129613,8888,0.553003110792056,0.406372350479276,0.0884298636425003,0.100697569756976,0.591879229567933,"N",2159,2085,"si",0.508718190386428,119.8549,-1.03602987865104,0.267193495831405,0.140407399413403,74.1563340339027,"Medio"
"ALA DI STURA",1003,47.8596112311015,0.514038876889849,463,0.713080168776371,0.452214452214452,0.0769230769230769,0.0151187904967603,0.663934426229508,"N",120,118,"si",0.504201680672269,46.3316,-1.78911293494054,1.88479759604296,1.68540721513109,9.99317960096349,"Micro"
"ALAGNA",18001,46.7107540173053,0.488257107540173,809,0.742092457420925,0.472299168975069,0.0692520775623269,0.0568603213844252,0.587209302325581,"N",267,137,"si",0.660891089108911,8.3442,-0.928094825823609,0.135448239487774,0.697979844343226,96.953572541406,"Micro"
"ALAGNA VALSESIA",2002,47.9655172413793,0.52551724137931,725,0.785123966942149,0.440677966101695,0.101694915254237,0.0317241379310345,0.634328358208955,"N",253,126,"si",0.66754617414248,133.1714,-1.3001245068941,1.12338117305939,-0.403864657864234,5.44411187387082,"Micro"
"ALANNO",68002,47.4870948379352,0.485894357743097,3332,0.612280701754386,0.446524064171123,0.0762032085561497,0.0315126050420168,0.605491329479769,"S",776,730,"si",0.51527224435591,32.5275,-0.706298319345964,0.577196947409152,0.0324571910889971,102.436399969257,"Piccolo"
"ALASSIO",9001,51.4170682730924,0.465863453815261,9960,0.668103448275862,0.382638158663395,0.138450753592709,0.105421686746988,0.616554054054054,"N",2800,1917,"si",0.593597625609498,17.2553,-0.983666860109283,0.466817097530669,-0.807739104717528,577.213957450754,"Medio"
